station_number,mean,std
3,333179.5324675325,1276031.493729442
4,381552.3830489818,1176695.475072232
5,89700.72500000001,533249.0157102725
6,158068.5225225225,746082.0028840977
7,287078.6138613861,1172883.440665374
8,156449.4267515924,848346.966928085
9,95282.78644067797,533405.7845134146
10,109558.0982567353,631415.9878295101
11,891910.7886435331,1931182.526752721
12,204554.6235359732,989457.2039908989
14,754247.027027027,1793139.487669297
15,141430.1899441341,545935.1752377414
16,310325.2216748769,836877.6395628696
17,109325.2585258526,637285.3065676843
18,86369.45454545454,516612.5432512222
19,99630.31842304776,617425.3818858939
20,228220.2156640181,775752.347435296
21,145850.2208201893,589766.7541103809
22,254144.9272659455,634821.6237921744
24,238998.5416666667,892097.5508041985
25,311027.0469314079,1081321.699964791
26,247725.9117997616,807002.7963461229
27,115479.3957703927,636985.0018227014
29,81460.47619047618,591012.825772514
30,158246.9662921348,817685.4072619022
31,201514.8871442591,985912.8777502603
32,58969.40723633565,398043.9976313924
33,192118.5245901639,637234.1052625534
34,37073.58574610245,82655.26620526449
36,98018.80426306212,384382.7844081171
39,167750.0585774059,677830.3783707662
40,255964.287454324,845594.1275775007
41,101612.1038961039,523477.058894946
42,243615.885671305,782136.91690075
43,133179.0448901624,574317.2376563259
44,205364.1117318436,807482.8641082464
45,176545.9114674102,708890.7630562775
46,151703.7856525497,658291.7534310147
47,173241.2634238787,622694.2099347092
48,878748.2290562036,1465286.265855702
49,211176.3102232667,905101.3613804559
50,231904.5299145299,795580.7783502153
51,130293.1914893617,678880.8182676841
52,152157.5260960334,598195.7293205855
53,247452.374025974,731847.4151862747
54,92241.07107601185,501654.8751427908
55,159188.2487451199,648126.3926490723
57,211852.547368421,816922.4339313053
58,211411.1095748358,778696.8991429122
59,100578.7590486039,593571.0281120297
62,239581.5656178051,1055205.050576834
63,119258.0389768575,646717.1750310936
64,1012155.742296919,1703588.739009973
65,159897.2806507844,817102.6698028815
66,207994.4510978044,965219.2531233244
67,355265.9249183895,790825.5038322094
68,193598.2205683356,625011.2852051356
69,204931.3279390766,838215.6585412256
70,124940.7606679035,577967.6636936432
71,193990.4438040346,902071.7090677322
72,601831.7404865876,1297967.493489191
73,187172.2381136451,795904.7980512091
74,92672.26130653266,483093.5933527835
75,185829.8769483183,613573.4060826892
76,263693.9464285714,809290.7051644033
77,202439.1818181818,1186527.630933015
78,196025.3276178812,880133.3271391318
79,218936.4746945899,853846.417845243
80,665265.5146600124,1269707.296136609
81,111631.843902439,579387.401813089
83,123298.6010362694,361475.3604071274
84,320208.5345211581,988648.3590241745
86,104900.7013574661,580557.7898758063
87,227057.1272727273,926403.0002242408
88,278053.4553775744,954646.2240738687
89,153753.6183206107,909929.6531750206
90,205484.7705753824,855740.0126796179
91,352213.7027707808,975771.5539984688
92,160393.9373970346,262116.0796970161
93,122395.9939301973,324580.0036284172
94,227237.0474516696,965855.1981454592
95,186865.019206146,876257.6613449474
96,126372.0628272251,674786.6832945512
98,235076.8042861645,895341.8567353544
99,242148.9825581395,845351.3019395104
100,206758.288590604,783551.6963070539
101,50110.29585798817,101546.3829102789
102,115253.1623931624,564418.6051196946
103,93776.73571250313,467011.7801732519
104,125102.3208191126,585923.2504528515
105,155645.3263707572,309963.913255164
106,57761.26530612245,160922.8791968726
107,58981.69014084507,78350.72164629714
108,221751.6923076923,369337.2090549782
109,244553.3333333333,248425.1969686023
110,206219.5873452545,1010605.873682293
111,969315.2189781022,1798129.50039669
112,532223.4311512415,1247686.102500134
113,156647.0095073466,565432.9610367198
114,1078138.406537283,1400235.355742458
115,85313.51565946185,492455.9098008528
116,27258.82219705549,120806.4613651089
117,37104.47524752475,130288.5907110715
118,146027.6842105263,160105.7467850061
119,29753.05970149254,71316.34884811677
120,108411.3953488372,122900.0217435482
121,91780.94117647059,137438.7242256026
122,61903.63636363636,98321.32139735672
123,108461.6326530612,156155.5935381529
124,79674.11764705883,97075.88943155418
125,103879.3902439024,172077.9340798499
126,141085.2516411378,748553.0689784229
127,158155.1742627346,807922.1531847849
128,600878.7213510253,1199582.47783646
129,166187.0792838875,858187.2458643907
130,94279.64037597057,673371.5013236031
131,145469.9808917198,735793.5765649679
132,108183.8681102362,626402.0905541335
133,121433.965131873,692542.1563345152
134,108750.0,551882.9154264801
135,128405.6878118318,605260.5153079827
136,87855.41968911917,451223.0899681087
137,107922.7737843552,533823.9948956437
138,307264.305106658,1423669.82693912
139,101178.1003584229,486003.8314080916
140,107777.5751072961,318383.0322848716
141,158266.3432835821,642740.4579878177
142,74638.18659658344,272819.0822193213
143,86367.61146496815,461652.0362963732
144,62685.53444180523,348057.0703023029
145,111973.1868131868,263694.6609821738
