	0	1						",0,1"
0	3	"""{'lat'"	-71.100812	'avrg_waiting'	92.54987013	'lon'	"42.340021}"""	"0,3.0,""{'lat': -71.100812, 'avrg_waiting': 92.549870129870143, 'lon': 42.340021}"""
1	4	"""{'lat'"	-71.069616	'avrg_waiting'	105.9867731	'lon'	"42.345392}"""	"1,4.0,""{'lat': -71.069616, 'avrg_waiting': 105.9867730691616, 'lon': 42.345392}"""
2	5	"""{'lat'"	-71.090179	'avrg_waiting'	24.91686806	'lon'	"42.341814}"""	"2,5.0,""{'lat': -71.090179, 'avrg_waiting': 24.916868055555561, 'lon': 42.341814}"""
3	6	"""{'lat'"	-71.06514	'avrg_waiting'	43.90792292	'lon'	"42.361284999999995}"""	"3,6.0,""{'lat': -71.06514, 'avrg_waiting': 43.907922922922914, 'lon': 42.361284999999995}"""
4	7	"""{'lat'"	-71.044624	'avrg_waiting'	79.74405941	'lon'	"42.353412}"""	"4,7.0,""{'lat': -71.044624, 'avrg_waiting': 79.744059405940575, 'lon': 42.353412}"""
5	8	"""{'lat'"	-71.137313	'avrg_waiting'	43.4581741	'lon'	"42.353334000000004}"""	"5,8.0,""{'lat': -71.137313, 'avrg_waiting': 43.458174097664553, 'lon': 42.353334000000004}"""
6	9	"""{'lat'"	-71.116174	'avrg_waiting'	26.46744068	'lon'	"42.351313}"""	"6,9.0,""{'lat': -71.116174, 'avrg_waiting': 26.467440677966103, 'lon': 42.351313}"""
7	10	"""{'lat'"	-71.105884	'avrg_waiting'	30.43280507	'lon'	"42.350075}"""	"7,10.0,""{'lat': -71.105884, 'avrg_waiting': 30.432805071315357, 'lon': 42.350075}"""
8	11	"""{'lat'"	-71.1065	'avrg_waiting'	247.7529968	'lon'	"42.338629}"""	"8,11.0,""{'lat': -71.1065, 'avrg_waiting': 247.75299684542588, 'lon': 42.338629}"""
9	12	"""{'lat'"	-71.088496	'avrg_waiting'	56.82072876	'lon'	"42.335910999999996}"""	"9,12.0,""{'lat': -71.08849599999999, 'avrg_waiting': 56.820728759992555, 'lon': 42.335910999999996}"""
10	14	"""{'lat'"	-71.102797	'avrg_waiting'	209.5130631	'lon'	"42.337171000000005}"""	"10,14.0,""{'lat': -71.102797, 'avrg_waiting': 209.51306306306304, 'lon': 42.337171000000005}"""
11	15	"""{'lat'"	-71.13802	'avrg_waiting'	39.28616387	'lon'	"42.361667}"""	"11,15.0,""{'lat': -71.13802, 'avrg_waiting': 39.286163873370583, 'lon': 42.361667}"""
12	16	"""{'lat'"	-71.076163	'avrg_waiting'	86.20145047	'lon'	"42.347433}"""	"12,16.0,""{'lat': -71.076163, 'avrg_waiting': 86.201450465243596, 'lon': 42.347433}"""
13	17	"""{'lat'"	-71.119581	'avrg_waiting'	30.36812737	'lon'	"42.365074}"""	"13,17.0,""{'lat': -71.11958100000001, 'avrg_waiting': 30.368127368292388, 'lon': 42.365074}"""
14	18	"""{'lat'"	-71.129791	'avrg_waiting'	23.99151515	'lon'	"42.36337}"""	"14,18.0,""{'lat': -71.129791, 'avrg_waiting': 23.991515151515152, 'lon': 42.36337}"""
15	19	"""{'lat'"	-71.105828	'avrg_waiting'	27.67508845	'lon'	"42.347527}"""	"15,19.0,""{'lat': -71.105828, 'avrg_waiting': 27.675088450846598, 'lon': 42.347527}"""
16	20	"""{'lat'"	-71.051601	'avrg_waiting'	63.39450435	'lon'	"42.359770000000005}"""	"16,20.0,""{'lat': -71.051601, 'avrg_waiting': 63.394504351116133, 'lon': 42.359770000000005}"""
17	21	"""{'lat'"	-71.082578	'avrg_waiting'	40.51395023	'lon'	"42.345959}"""	"17,21.0,""{'lat': -71.082578, 'avrg_waiting': 40.513950227830364, 'lon': 42.345959}"""
18	22	"""{'lat'"	-71.055547	'avrg_waiting'	70.59581313	'lon'	"42.352175}"""	"18,22.0,""{'lat': -71.055547, 'avrg_waiting': 70.595813129429303, 'lon': 42.352175}"""
19	24	"""{'lat'"	-71.045461	'avrg_waiting'	66.3884838	'lon'	"42.351821}"""	"19,24.0,""{'lat': -71.045461, 'avrg_waiting': 66.388483796296313, 'lon': 42.351821}"""
20	25	"""{'lat'"	-71.076847	'avrg_waiting'	86.39640193	'lon'	"42.341332}"""	"20,25.0,""{'lat': -71.076847, 'avrg_waiting': 86.396401925391075, 'lon': 42.341332}"""
21	26	"""{'lat'"	-71.068922	'avrg_waiting'	68.81275328	'lon'	"42.341522}"""	"21,26.0,""{'lat': -71.068922, 'avrg_waiting': 68.812753277711565, 'lon': 42.341522}"""
22	27	"""{'lat'"	-71.094734	'avrg_waiting'	32.07760994	'lon'	"42.331567}"""	"22,27.0,""{'lat': -71.094734, 'avrg_waiting': 32.077609936220192, 'lon': 42.331567}"""
23	29	"""{'lat'"	-71.124565	'avrg_waiting'	22.62791005	'lon'	"42.363732}"""	"23,29.0,""{'lat': -71.124565, 'avrg_waiting': 22.627910052910046, 'lon': 42.363732}"""
24	30	"""{'lat'"	-71.105221	'avrg_waiting'	43.95749064	'lon'	"42.334073}"""	"24,30.0,""{'lat': -71.105221, 'avrg_waiting': 43.957490636704115, 'lon': 42.334073}"""
25	31	"""{'lat'"	-71.041747	'avrg_waiting'	55.97635754	'lon'	"42.348833}"""	"25,31.0,""{'lat': -71.041747, 'avrg_waiting': 55.976357540071966, 'lon': 42.348833}"""
26	32	"""{'lat'"	-71.102221	'avrg_waiting'	16.3803909	'lon'	"42.343911999999996}"""	"26,32.0,""{'lat': -71.102221, 'avrg_waiting': 16.380390898982125, 'lon': 42.343911999999996}"""
27	33	"""{'lat'"	-71.096831	'avrg_waiting'	53.36625683	'lon'	"42.349046}"""	"27,33.0,""{'lat': -71.09683100000001, 'avrg_waiting': 53.366256830601081, 'lon': 42.349046}"""
